,Date,YHOO-Open,YHOO-High,YHOO-Low,YHOO-Close,YHOO-Adj_Close,YHOO-Volume,Nasdaq-Open,Nasdaq-High,Nasdaq-Low,Nasdaq-Close,Nasdaq-Volume,sp500-Open,sp500-High,sp500-Low,sp500-Close,sp500-Volume,DJ30-Open,DJ30-High,DJ30-Low,DJ30-Close,DJ30-Volume
52,10/16/15,33.639999,33.860001,33.16,33.369999,33.369999,12498900,4872.359863,4886.950195,4851.279785,4886.689941,1855290000,2024.369995,2033.540039,2020.459961,2033.109985,3595430000,17141.75,17220.01953,17107.34961,17215.9707,145880000
53,10/15/15,32.419998,33.490002,32.400002,33.48,33.48,19403800,4799.430176,4870.100098,4795.290039,4870.100098,1942900000,1996.469971,2024.150024,1996.469971,2023.859985,3746290000,16944.85938,17144.41992,16933.57031,17141.75,122960000
54,10/14/15,32.279999,32.490002,31.77,32.09,32.09,11282800,4801.350098,4820.089844,4771.620117,4782.850098,1902460000,2003.660034,2009.560059,1990.72998,1994.23999,3644590000,17079.08008,17111.38086,16887.66992,16924.75,120110000
55,10/13/15,32.560001,32.830002,32.32,32.34,32.34,15873800,4809.240234,4858.279785,4793.919922,4796.609863,1565060000,2015,2022.339966,2001.780029,2003.689941,3401920000,17113.55078,17172.81055,17034.44922,17081.89063,99400000
56,10/12/15,32.709999,33.02,32.549999,32.860001,32.860001,12580300,4839.790039,4846.740234,4818.169922,4838.640137,1343820000,2015.650024,2018.660034,2010.550049,2017.459961,2893250000,17082.28906,17139.21094,17064.58008,17131.85938,72500000
57,10/9/15,32.349998,32.689999,31.99,32.52,32.52,11830400,4817.279785,4841.379883,4804.589844,4830.470215,1804260000,2013.72998,2020.130005,2007.609985,2014.890015,3706900000,17054.68945,17110.88086,17027.23047,17084.49023,103730000
58,10/8/15,31.790001,32.5,31.73,32.369999,32.369999,14245400,4775.060059,4819.069824,4737.930176,4810.790039,1984230000,1994.01001,2016.5,1987.530029,2013.430054,3939140000,16904.16992,17081.2793,16859.33984,17050.75,100730000
59,10/7/15,31.309999,31.99,31.209999,31.870001,31.870001,12224800,4775.049805,4791.149902,4728.709961,4791.149902,2149890000,1982.339966,1999.310059,1976.439941,1995.829956,4666470000,16805.41992,16963.30078,16765,16912.28906,115690000
60,10/6/15,30.790001,31.190001,30.66,30.959999,30.959999,10572800,4767.629883,4783.370117,4711.790039,4748.359863,2085020000,1986.630005,1991.619995,1971.98999,1979.920044,4202400000,16774.01953,16865.08984,16746.0293,16790.18945,120010000
61,10/5/15,30.799999,31.200001,30.35,30.85,30.85,12883300,4742.129883,4785.910156,4740.240234,4781.259766,2005320000,1954.329956,1989.170044,1954.329956,1987.050049,4334490000,16502.09961,16798.36914,16502.09961,16776.42969,127660000
62,10/2/15,28.620001,30.709999,28.43,30.709999,30.709999,29250500,4566.129883,4707.779785,4552.339844,4707.779785,2183320000,1921.77002,1951.359985,1893.699951,1951.359985,4378570000,16258.25,16472.76953,16013.66016,16472.36914,136870000
63,10/1/15,28.950001,29,28.440001,28.91,28.91,14467600,4624.459961,4628.22998,4559.209961,4627.080078,2133990000,1919.650024,1927.209961,1900.699951,1923.819946,3983600000,16278.62012,16348.87012,16073.82031,16272.00977,111420000
64,9/30/15,28.65,29.110001,28.49,28.91,28.91,18317900,4574.379883,4620.160156,4559.180176,4620.160156,2398350000,1887.140015,1920.530029,1887.140015,1920.030029,4525070000,16057.08008,16297.59961,16057.08008,16284.7002,145740000
65,9/29/15,28.58,29.23,27.85,28.26,28.26,41895400,4551.040039,4596.060059,4487.060059,4517.319824,2293450000,1881.900024,1899.47998,1871.910034,1884.089966,4132390000,16001.75977,16118.88965,15942.37012,16049.12988,121160000
66,9/28/15,29.030001,29.219999,27.200001,27.6,27.6,49541300,4665.060059,4665.209961,4529.410156,4543.970215,2387610000,1929.180054,1929.180054,1879.209961,1881.77002,4326660000,16313.25977,16313.25977,15981.84961,16001.88965,139930000
67,9/25/15,29.66,29.709999,28.91,29.129999,29.129999,12817500,4782.410156,4785.220215,4659.47998,4686.5,2050530000,1935.930054,1952.890015,1921.5,1931.339966,3721870000,16205.07031,16465.23047,16205.07031,16314.66992,130790000
68,9/24/15,29.469999,29.57,28.85,29.34,29.34,19109900,4717.890137,4746.209961,4670.120117,4734.47998,1995820000,1934.810059,1937.170044,1908.920044,1932.23999,4091530000,16257.11035,16257.11035,16016.36035,16201.32031,122220000
69,9/23/15,30.559999,30.57,29.629999,29.74,29.74,12755400,4764.689941,4780.640137,4735.129883,4752.740234,1606330000,1943.23999,1949.52002,1932.569946,1938.76001,3190530000,16332.80957,16355.29004,16211.98047,16279.88965,86030000
70,9/22/15,30.780001,30.92,30.17,30.4,30.4,15614900,4762.290039,4776.279785,4716.910156,4756.720215,2042880000,1961.390015,1961.390015,1929.219971,1942.73999,3808260000,16477.44922,16477.44922,16221.73047,16330.46973,119010000
71,9/21/15,31.200001,31.74,30.879999,31.17,31.17,18745000,4851.97998,4881.459961,4795.910156,4828.950195,2021530000,1960.839966,1979.640015,1955.800049,1966.969971,3269350000,16406.09961,16578.59961,16391.88086,16510.18945,90730000
72,9/18/15,30.51,30.799999,30.41,30.74,30.74,20538300,4828.709961,4878.709961,4819.089844,4827.22998,3272150000,1989.660034,1989.660034,1953.449951,1958.030029,6021240000,16674.74023,16674.74023,16343.75977,16384.58008,341690000
73,9/17/15,31.309999,31.33,30.809999,30.93,30.93,17094200,4884.109863,4960.870117,4880.5,4893.950195,1891510000,1995.329956,2020.859985,1986.72998,1990.199951,4183790000,16738.08008,16933.42969,16639.92969,16674.74023,129600000
74,9/16/15,31.139999,31.77,30.99,31.4,31.4,22179700,4860.430176,4893.439941,4848.149902,4889.240234,1666380000,1978.02002,1997.26001,1977.930054,1995.310059,3630680000,16599.50977,16755.98047,16593.90039,16739.94922,99620000
75,9/15/15,29.719999,31.23,29.41,31.040001,31.040001,25661600,4819.319824,4872.350098,4802.089844,4860.52002,1587460000,1955.099976,1983.189941,1954.300049,1978.089966,3239860000,16382.58008,16644.10938,16382.58008,16599.84961,93050000
76,9/14/15,30.68,30.92,30,30.32,30.32,22186900,4831.97998,4832,4791.080078,4805.759766,1467740000,1963.060059,1963.060059,1948.27002,1953.030029,3000200000,16450.85938,16450.85938,16330.87012,16370.95996,92660000
77,9/11/15,31.09,31.43,30.629999,31.43,31.43,14365400,4770.72998,4822.339844,4763.149902,4822.339844,1686190000,1951.449951,1961.050049,1939.189941,1961.050049,3218590000,16330.40039,16434.75977,16244.65039,16433.08984,104630000
78,9/10/15,31.35,31.59,31.030001,31.15,31.15,14330900,4749.959961,4826.330078,4746.52002,4796.25,1845770000,1941.589966,1965.290039,1937.189941,1952.290039,3626320000,16252.57031,16441.93945,16212.08008,16330.40039,122690000
79,9/9/15,30.4,31.799999,30.35,31.52,31.52,47058500,4856.27002,4862.879883,4746.72998,4756.529785,1963750000,1971.449951,1988.630005,1937.880005,1942.040039,3652120000,16505.03906,16664.65039,16220.09961,16253.57031,118790000
80,9/8/15,32.200001,32.830002,30.860001,30.9,30.9,26873900,4769.720215,4815.040039,4754.890137,4811.930176,1765600000,1927.300049,1970.420044,1927.300049,1969.410034,3548650000,16109.92969,16503.41016,16109.92969,16492.67969,123870000
81,9/4/15,32,32.290001,31.440001,31.58,31.58,13854100,4670.350098,4712.669922,4657.819824,4683.919922,1574720000,1947.76001,1947.76001,1911.209961,1921.219971,3167090000,16371.75977,16371.75977,16026.61035,16102.37988,127270000
82,9/3/15,31.860001,32.740002,31.799999,32.540001,32.540001,13748900,4763.100098,4800.180176,4721.910156,4733.5,1803320000,1950.790039,1975.01001,1944.719971,1951.130005,3520700000,16364.33984,16550.07031,16317.30957,16374.75977,109730000
